,AAPL,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TLT,TSLA
AAPL,1.0,0.5838329036755265,0.6098200945783127,0.5224528725234827,0.6750653925191205,0.5635701853856426,0.807902494845648,0.7685579728388253,-0.08587807867610897,0.4542206402901323
AMZN,0.5838329036755265,1.0,0.6355068880342036,0.6064393332906828,0.6652545223013299,0.5740427272120916,0.7772600146226422,0.6710711381324854,-0.030582254304686876,0.4216338095789718
GOOGL,0.6098200945783127,0.6355068880342036,1.0,0.5951037032247806,0.675751364340617,0.5635421431382149,0.7788080802628468,0.7250495485240569,-0.08060443183724213,0.3972805165799302
META,0.5224528725234827,0.6064393332906828,0.5951037032247806,1.0,0.5890069856624384,0.5245231228868342,0.6972324897661213,0.6191657047604207,-0.05567022794170772,0.3369685730609711
MSFT,0.6750653925191205,0.6652545223013299,0.675751364340617,0.5890069856624384,1.0,0.6465123928663036,0.8465880790763065,0.7905753506223927,-0.10250091778843591,0.4252526414987609
NVDA,0.5635701853856426,0.5740427272120916,0.5635421431382149,0.5245231228868342,0.6465123928663036,1.0,0.7889093032349127,0.6944918868559204,-0.06436389708000355,0.44563383262349715
QQQ,0.807902494845648,0.7772600146226422,0.7788080802628468,0.6972324897661213,0.8465880790763065,0.7889093032349127,1.0,0.9378522897514006,-0.09263393409013718,0.5778381562292922
SPY,0.7685579728388253,0.6710711381324854,0.7250495485240569,0.6191657047604207,0.7905753506223927,0.6944918868559204,0.9378522897514006,1.0,-0.14083386650805657,0.5058367668902326
TLT,-0.08587807867610897,-0.030582254304686876,-0.08060443183724213,-0.05567022794170772,-0.10250091778843591,-0.06436389708000355,-0.09263393409013718,-0.14083386650805657,1.0,-0.02715730608181064
TSLA,0.4542206402901323,0.4216338095789718,0.3972805165799302,0.3369685730609711,0.4252526414987609,0.44563383262349715,0.5778381562292922,0.5058367668902326,-0.02715730608181064,1.0
