period,asset,weight,asset_cumulative_return,weighted_contribution
COVID Crash,NVDA,0.2,-0.2824046581316504,-0.05648093162633008
COVID Crash,TSLA,0.1,-0.49407034317011,-0.049407034317011
COVID Crash,AAPL,0.15,-0.29664591976842236,-0.044496887965263354
COVID Crash,MSFT,0.15,-0.27174372050011464,-0.0407615580750172
COVID Crash,META,0.1,-0.3200183356150468,-0.032001833561504676
COVID Crash,GOOGL,0.1,-0.30623773880069904,-0.030623773880069906
COVID Crash,SPY,0.05,-0.3340036965013147,-0.016700184825065734
COVID Crash,AMZN,0.1,-0.11729066334149629,-0.01172906633414963
COVID Crash,QQQ,0.03,-0.2722566903037531,-0.008167700709112593
COVID Crash,TLT,0.02,0.14226453347581614,0.002845290669516323
2022 Rate-Hike Selloff,NVDA,0.2,-0.6180127815702287,-0.12360255631404574
2022 Rate-Hike Selloff,META,0.1,-0.6231306866501434,-0.06231306866501434
2022 Rate-Hike Selloff,MSFT,0.15,-0.31596904862045316,-0.04739535729306797
2022 Rate-Hike Selloff,TSLA,0.1,-0.41807187926454026,-0.04180718792645403
2022 Rate-Hike Selloff,AMZN,0.1,-0.35879361685672284,-0.03587936168567229
2022 Rate-Hike Selloff,GOOGL,0.1,-0.33338863395843066,-0.03333886339584307
2022 Rate-Hike Selloff,AAPL,0.15,-0.21747696929168114,-0.03262154539375217
2022 Rate-Hike Selloff,SPY,0.05,-0.23831338447632644,-0.011915669223816323
2022 Rate-Hike Selloff,QQQ,0.03,-0.34137421160260106,-0.01024122634807803
2022 Rate-Hike Selloff,TLT,0.02,-0.3241032774690876,-0.006482065549381752
