,weight,annualized_volatility,weight_volatility_contribution,correlation_with_portfolio,average_return_on_worst_5_days,rank_by_wv_contribution,rank_by_correlation,rank_by_worst_day_loss
NVDA,0.2,0.5070654294766023,0.10141308589532046,0.8570789203347504,-0.11436437358759136,1,3,1
TSLA,0.1,0.6274118130080393,0.06274118130080393,0.6637398966586319,-0.1136572235531681,2,9,2
AAPL,0.15,0.30511415461354685,0.04576712319203203,0.7893072014028372,-0.08904689154270772,3,5,3
MSFT,0.15,0.2850896121145992,0.04276344181718988,0.8353697942066637,-0.08538532086804093,4,4,5
META,0.1,0.41366432704316175,0.041366432704316176,0.7254185620022511,-0.08609521140766419,5,8,4
AMZN,0.1,0.3422623171834257,0.03422623171834257,0.7794445740964697,-0.06052631342424808,6,6,9
GOOGL,0.1,0.3096707950269918,0.030967079502699182,0.7718884681597186,-0.07405080513301543,7,7,7
SPY,0.05,0.19225598533342736,0.009612799266671369,0.8717316132301564,-0.07221833114450897,8,2,8
QQQ,0.03,0.2380964399347418,0.007142893198042254,0.9623081229182933,-0.07729620466237794,9,1,6
TLT,0.02,0.1552352504548614,0.003104705009097228,-0.07195699995540883,0.02064696771825862,10,10,10
